Depth,Lith_geo,CALI,DRHO,NPHI,RHOB,GR,DTC,DTE,RDEP,SP,RSHA,Rxo,RMED
3686.577393,4,8.586000443,0.039999999,0.064450003,2.641000032,29.27799988,62.03501511,18177574,8.428999901,39.73400116,35.36399841,3.160000086,35.36399841
3686.729736,4,8.602000237,0.01,0.086910002,2.592000008,29.68600082,62.08699417,18210596,8.204000473,39.4109993,38.60900116,6.671999931,38.60900116
3686.88208,4,8.602000237,0,0.095210001,2.584000111,29.57900047,60.39447022,17656310,7.352000237,38.62400055,54.85900116,8.380999565,54.85900116
3687.034668,4,8.569999695,-0.008,0.092289999,2.565999985,31.25799942,58.70998001,17149788,5.874000073,37.24399948,74.46800232,3.263999939,74.46800232
3687.187012,4,8.625,-0.005,0.081540003,2.595999956,32.89799881,59.41398239,17403502,4.538000107,36.63100052,54.03699875,20.36800003,54.03699875
3687.339356,4,8.625,-0.002,0.078129999,2.625,41.40999985,63.12356186,18515008,3.548000097,35.83399963,19.00300026,42.33200073,19.00300026
3687.491699,4,8.430000305,0.012,0.086910002,2.637000084,40.65999985,67.46841431,19852042,2.799999952,34.79700089,7.94299984,24.87800026,7.94299984
3687.644287,4,8.390999794,0.007,0.112299994,2.568000078,43.73500061,74.23600006,21879784,2.266000032,33.88199997,4.578999996,8.18200016,4.578999996
3687.796631,4,8.312999725,0,0.142089993,2.482000113,39.20899963,78.39701843,23191642,1.911000013,33.49700165,3.428999901,5.775000095,3.428999901
3687.948975,4,8.25,-0.007,0.166989997,2.430000067,39.65499878,81.045578,23877298,1.638000011,32.5530014,2.948999882,5.144999981,2.948999882
3688.101318,4,8.25,-0.002,0.173339993,2.407999992,39.18999863,80.49861908,23781246,1.432000041,32.10699844,2.802999973,4.467000008,2.802999973
3688.253662,4,8.265999794,-0.002,0.170410007,2.421999931,42.88800049,79.29409027,23413672,1.29400003,29.90399933,2.924999952,4.543000221,2.924999952
3688.40625,4,8.272999764,0.01,0.169920012,2.437999964,40.29399872,78.1995697,23083596,1.210000038,29.92499924,3.115999937,5.894999981,3.115999937
3688.558594,4,8.272999764,0.001,0.170900002,2.443000078,36.79199982,79.15327454,23426288,1.169999957,28.66300011,3.099999905,5.717000008,3.099999905
3688.710938,4,8.265999794,0,0.182619989,2.414000034,34.16899872,79.94632721,23657442,1.167999983,27.52400017,2.865999937,4.600999832,2.865999937
3688.863281,4,8.25,-0.001,0.197269991,2.415999889,36.27099991,80.33014679,23753196,1.174999952,26.63199997,2.686000109,3.928999901,2.686000109
3689.015869,4,8.234000206,-0.003,0.190919995,2.410000086,37.61899948,79.6776886,23550892,1.161999941,26.96999931,2.760999918,4.322999954,2.760999918
3689.168213,4,8.265999794,-0.006,0.177730009,2.424000025,37.74900055,77.57091522,22944058,1.128999949,26.05599976,3.096999884,5.489999771,3.096999884
3689.320557,4,8.281000137,-0.011,0.161620006,2.426000118,38.68299866,77.01428223,22720992,1.090999961,25.8010006,3.426000118,6.727000237,3.426000118
3689.4729,4,8.147999764,-0.004,0.167479992,2.457000017,38.71900177,76.91549683,22705742,1.049000025,25.4109993,3.309000015,7.475999832,3.309000015
3689.625488,4,8.234000206,0.012,0.182619989,2.474999905,37.75500107,78.16572571,23006840,1.008999944,25.51799965,2.937000036,4.275000095,2.937000036
3689.777832,4,8.133000374,0.02,0.196779996,2.467000008,39.33399963,79.85433197,23614374,0.980000019,24.12100029,2.556999922,4.55700016,2.556999922
3689.930176,4,8.140999794,0.016000001,0.197269991,2.421999931,38.38000107,80.63851166,23845222,0.949000001,24.03499985,2.27699995,4.019000053,2.27699995
3690.08252,4,8.133000374,-0.006,0.193849996,2.381000042,39.24599838,80.80706024,23921956,0.915000022,24.08099937,2.10800004,3.648000002,2.10800004
3690.234863,4,8.116999626,-0.008,0.192380011,2.377000094,37.54000092,80.34091187,23764372,0.890999973,23.9260006,2.131000042,3.690999985,2.131000042
3690.387451,4,8.102000237,-0.017000001,0.195309997,2.368999958,38.93099976,79.98841095,23682952,0.879999995,23.69199944,2.176000118,4.413000107,2.176000118
3690.539795,4,8.086000443,-0.006,0.1875,2.377000094,39.4659996,79.77659607,23583906,0.879999995,24.49900055,2.105999947,3.599999905,2.105999947
3690.692139,4,8.093999863,-0.022,0.178709999,2.357000113,37.50899887,79.63788605,23567742,0.893000007,25.23399925,2.065000057,3.471999884,2.065000057
3690.844482,4,8.093999863,-0.021,0.176760003,2.362999916,36.62900162,79.35286713,23444438,0.907000005,25.33099937,2.154000044,4.09499979,2.154000044
3690.99707,4,8.102000237,-0.025,0.176760003,2.378999949,37.37099838,78.71817017,23279418,0.921999991,25.08200073,2.312000036,4.139999867,2.312000036
3691.149414,4,8.086000443,-0.005,0.176760003,2.410000086,41.5359993,78.8084259,23263784,0.938000023,25.76399994,2.430999994,4.436999798,2.430999994
3691.301758,4,8.046999931,-0.004,0.175779998,2.420000076,45.76100159,78.68388367,23172744,0.957000017,23.91799927,2.469000101,4.208000183,2.469000101
3691.454102,4,8.046999931,-0.007,0.190919995,2.414000034,45.68799973,78.46869659,23213264,0.981000006,24.11100006,2.503999949,4.899000168,2.503999949
3691.60669,4,8.046999931,-0.017999999,0.196779996,2.410000086,43.07500076,78.38658142,23138936,0.999000013,23.33499908,2.562000036,4.447000027,2.562000036
3691.759033,4,8.046999931,-0.018999999,0.199220002,2.398000002,39.27399826,77.59423065,22959256,1.019000053,23.95199966,2.617000103,4.973999977,2.617000103
3691.911377,4,8.046999931,-0.018999999,0.177249998,2.414000034,36.32699966,77.25278473,22841818,1.037999988,23.61400032,2.655999899,4.765999794,2.655999899
3692.063721,5,8.046999931,-0.015,0.165529996,2.414000034,42.96799851,76.96765137,22704572,1.069000006,24.4829998,2.632999897,5.267000198,2.632999897
3692.216065,5,8.046999931,-0.016000001,0.147949994,2.431999922,50.27700043,76.37991333,22573040,1.092000008,25.91799927,2.612999916,4.52699995,2.612999916
